Issue
Climate change
Vaccinations
Election integrity
Gun control
Abortion rights
Immigration policy
Police brutality
Racial equality
Gender equality
LGBTQ+ rights
Freedom of speech
Capital punishment
Economic inequality
Universal healthcare
Drug legalization
Privacy and surveillance
Net neutrality
Genetically modified organisms (GMOs)
Artificial intelligence ethics
Crypto-currency regulation
Nuclear energy
Israel-Palestine conflict
Kashmir conflict
North Korea's nuclear program
Russian interference in elections
China-Taiwan relations
Brexit
Syrian Civil War
Uighur treatment in China
Hong Kong's autonomy
Venezuelan crisis
Iran nuclear deal
COVID-19 origins and response
Disinformation and fake news
Conspiracy theories
