Category,Keyword
Health and Medicine,Vaccine
Health and Medicine,Autism
Health and Medicine,Cure
Health and Medicine,Homeopathy
Health and Medicine,Detox
Health and Medicine,Alternative medicine
Health and Medicine,Miracle cure
Health and Medicine,Big Pharma
Politics,Rigged
Politics,Deep state
Politics,Collusion
Politics,Impeachment
Politics,Propaganda
Politics,Coup
Politics,Electoral fraud
Science and Environment,Climate hoax
Science and Environment,Flat earth
Science and Environment,Chemtrails
Science and Environment,GMO dangers
Science and Environment,Pseudoscience
Science and Environment,Geoengineering
Economics and Finance,Ponzi scheme
Economics and Finance,Inflation conspiracy
Economics and Finance,Economic collapse
Economics and Finance,Get-rich-quick
Economics and Finance,Market manipulation
Economics and Finance,Insider trading
Technology and Cybersecurity,5G dangers
Technology and Cybersecurity,Surveillance state
Technology and Cybersecurity,Hacking
Technology and Cybersecurity,Data breach
Technology and Cybersecurity,AI takeover
Technology and Cybersecurity,Spyware
History,Holocaust denial
History,Revisionism
History,Lost cause
History,Historical negationism
Social Issues,White genocide
Social Issues,Race war
Social Issues,Cultural Marxism
Social Issues,Gender hoax
Social Issues,Social justice warrior
Conspiracy Theories,New World Order
Conspiracy Theories,Illuminati
Conspiracy Theories,Moon landing hoax
Conspiracy Theories,QAnon
Conspiracy Theories,Bilderberg
Conspiracy Theories,UFO cover-up
Public Safety and Law Enforcement,False flag
Public Safety and Law Enforcement,Martial law
Public Safety and Law Enforcement,Police brutality
Public Safety and Law Enforcement,Gun control hoax
Public Safety and Law Enforcement,Crisis actor
Education,Brainwashing
Education,Indoctrination
Education,Liberal bias
Education,Creationism
Education,Academic fraud
War and Conflict,War crimes
War and Conflict,Genocide
War and Conflict,Ethnic cleansing
War and Conflict,Chemical attack
War and Conflict,Rebel forces
War and Conflict,Regime change
War and Conflict,Insurgent
War and Conflict,Proxy war
War and Conflict,Terrorist attack
War and Conflict,Military coup
War and Conflict,Civil war
War and Conflict,Occupation
War and Conflict,Airstrike
War and Conflict,Drone strike
War and Conflict,War propaganda
War and Conflict,War zone
War and Conflict,Battlefield
War and Conflict,Militia
War and Conflict,Armistice
War and Conflict,Peacekeeping
Contentious Issues,Gaza
Contentious Issues,West Bank
Contentious Issues,Settlements
Contentious Issues,Apartheid
Contentious Issues,Occupied territories
Contentious Issues,Zionism
Contentious Issues,Intifada
Contentious Issues,Rocket attack
Contentious Issues,Iron Dome
Contentious Issues,Blockade
Contentious Issues,Humanitarian crisis
Contentious Issues,Right of return
Breaking News,Unconfirmed report
Breaking News,Alleged incident
Breaking News,Anonymous sources
Breaking News,Breaking news
Breaking News,Developing story
Breaking News,Exclusive report
Breaking News,Eyewitness report
Breaking News,Leaked information
Breaking News,Unverified claim
Breaking News,Rumored
Breaking News,Speculation
Breaking News,Anonymous account
Breaking News,Social media reports
Breaking News,First-hand account
Breaking News,On-the-ground report
Elections,Voter fraud
Elections,Election rigging
Elections,Ballot harvesting
Elections,Voting machine
Elections,Mail-in ballot
Elections,Electoral fraud
Elections,Voter suppression
Elections,Election interference
Elections,Illegal voting
Elections,Vote counting
Elections,Election hacking
Elections,Partisan gerrymandering
Elections,Campaign finance violation
Elections,Political corruption
Elections,Electoral college
Elections,Election recount
Elections,Swing state
Elections,Primary election
Elections,Exit poll
Elections,Election tampering
Elections,Dead voters
Elections,Voter ID laws
Elections,Election audit
Elections,Poll watcher
Elections,Early voting
Elections,Absentee ballot
Elections,Vote tally
Elections,Electoral dispute
Elections,Political rally
Elections,Super PAC
Elections,Candidate eligibility
Elections,Voting irregularity
Elections,Electoral manipulation
Elections,Proxy voting
Elections,Political endorsement
Elections,Election propaganda
Elections,Campaign misinformation
Elections,Vote flipping
Elections,Election lawsuit
Elections,Poll closing
Elections,Voter intimidation
Elections,Dark money
Elections,Election boycott
Elections,Polling station
Elections,Election result delay
Elections,Electoral college dispute
Elections,Political advertisement
Elections,Campaign hacking
Elections,Election meddling
Elections,Election nullification
